,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,-0.008767713042117731,-0.018945239385202203,-0.0243929131355987,-0.018128321583255953,0.030723648691014467
A_macd,-0.017328025709759203,-0.030047312298073295,-0.03891844689617434,-0.04519224821309281,-0.061094126285168394
A_signal,-0.015579447867239565,-0.02577905246176249,-0.033432959027754235,-0.042182652556202176,-0.07525359169587334
A_hist_slope,0.0061262730269209965,0.008270430928720582,-0.0018553232554169674,-0.015150227641238202,-0.01586821522158568
B_gap,-0.02016527203894053,-0.034429878325622505,-0.04758872607723942,-0.0640482740996719,-0.08685043576743379
B_gap_norm,-0.020830320544302807,-0.035597309261968,-0.04917501920076276,-0.06541338815615118,-0.08550263185622582
B_roc,0.0037402580027500517,0.008870906152096899,0.017087723930362956,0.010685398496515718,0.007126512291501582
B_zroc,0.019771838298252034,0.012503925514293407,0.012247154688331471,-0.02782162012477884,-0.05122339055143857
B_gap_acc,-0.011927806567822398,-0.019805615411804717,-0.02283568058322382,-0.022684504574899032,-0.024256120982739778
B_roc_slope,-0.0011024137063621816,0.0034660446485368203,0.0029051567966439677,0.0017955057816249817,-0.0009418686519812733
