,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,0.002916710990908717,-0.013862414762751324,-0.021564175158105568,0.001267177582736726,0.005002551686746293
A_macd,-0.025737605541524215,-0.04348149275403921,-0.0801625718405194,-0.07907826884360288,-0.10956887953396771
A_signal,-0.025827204993933213,-0.03741907188313451,-0.07126823483160133,-0.08931046009828822,-0.12360145259819798
A_hist_slope,0.05819531331031781,0.044729600832176905,-0.0016961621808713465,-0.024487698123999875,0.03585233073009383
B_gap,-0.03208675196670016,-0.058237716483900484,-0.09961566957664755,-0.12157328942803577,-0.1343723594153567
B_gap_norm,-0.03048612900690171,-0.05755050990628441,-0.10104997290389946,-0.1270933832906856,-0.14425320430446897
B_roc,0.037508691264126336,0.04338470604905109,0.05416895620624005,0.08276481929316302,0.021892761974776357
B_zroc,0.05171888042839741,0.06794880214000333,0.0994052087751835,0.14543102797160587,0.09796456750702918
B_gap_acc,-0.02376507581132382,-0.03812928234309811,-0.05854529197678919,-0.045633765736462516,-0.04316146727323973
B_roc_slope,0.022458132708330907,-0.009307108645304644,-0.03483224165281742,0.005013615067394717,0.07123608884593605
