_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-279.56899999999996, -6.348]",6.309389477510092e-05,0.00014040482629616992,0.0001166436056933314,4.36708339350956e-05,6.331393807341948e-05,9242
"(-6.348, -3.751]",5.319996702523468e-06,4.372685749200081e-05,6.287110054199221e-05,6.112568405918084e-05,9.028879066143639e-05,9241
"(-3.751, -2.289]",1.7297560701429557e-06,-2.2867786895596552e-07,2.42176805546472e-05,0.0001736533487995802,0.00031327918467571376,9241
"(-2.289, -1.134]",9.716732703576209e-06,1.3498287436615362e-05,3.2852313015619585e-05,6.892388717702523e-05,0.00018402927178257395,9241
"(-1.134, -0.127]",1.3709157152100995e-05,5.3872683612448924e-05,9.622609781126191e-05,0.00016987871044184578,0.0003878571545130341,9241
"(-0.127, 0.925]",8.63261273929568e-06,3.117143055319477e-05,0.0001000059013533664,0.00019341040900810276,0.0002656016806648111,9241
"(0.925, 2.144]",6.304239426285555e-06,1.2211906404800654e-05,4.2911915074883024e-05,0.00010493523935613774,0.0002177062503861769,9241
"(2.144, 3.756]",-1.0242140882625806e-05,-1.6308814184496387e-05,-5.534836550429472e-07,5.5218232031519296e-05,0.00022309889898418058,9241
"(3.756, 6.688]",1.666123319030869e-05,2.5782975029378127e-05,2.7884446829365208e-05,5.1247104133116944e-05,0.00014927237198681016,9241
"(6.688, 141.668]",-2.7687039804194853e-05,-4.809167818378344e-05,-3.673522239184541e-06,6.294278325929674e-05,6.751469127378605e-05,9242
