_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-2590203.7260000003, -54.561]",3.666204954556199e-05,7.649112013707333e-05,0.00013259403356282758,0.00020682781642470616,0.00032761638403869063,9242
"(-54.561, -24.399]",-1.65537009122073e-05,-2.2886347737320263e-05,-5.510474403879772e-05,-5.112291770957496e-06,0.00019548141801351164,9241
"(-24.399, -13.654]",1.996812469334957e-05,5.92602582962791e-05,0.00010979015171310561,6.857094215282128e-05,0.00018180340591576982,9241
"(-13.654, -7.572]",3.010608671845192e-06,3.0417544108690135e-05,4.5449499583719084e-05,0.00012295246430151798,0.0003174079111714957,9241
"(-7.572, -2.749]",1.3292107638969357e-05,2.016277341680413e-05,3.984270132308118e-05,5.177460755710472e-05,0.000244866257284447,9241
"(-2.749, 2.422]",-8.007574115366118e-06,-3.0478953867061284e-05,1.9946803253600873e-05,3.605905729836286e-05,0.00015419570204743883,9241
"(2.422, 9.386]",1.4779071372473155e-05,4.921504340440469e-05,3.8167165541689456e-05,0.00013584585715335345,0.0002899974972937827,9241
"(9.386, 21.582]",1.3994925689582332e-05,3.518842173881766e-05,9.137164349186941e-05,0.00021774790623218672,0.00024215834703823687,9241
"(21.582, 51.699]",1.5064389277952241e-05,3.4839821133692837e-05,4.12715060702325e-05,0.00010744536566163362,-4.5836534481218e-05,9241
"(51.699, 3053735.062]",-4.968242143892771e-06,3.850075792107021e-06,3.6103964957276705e-05,4.3039634926256684e-05,5.455217735227402e-05,9242
