peak_idx,confirm_idx,div_type,price_direction,indicator_direction
69,74,bearish,higher_high,lower_high
103,108,bearish,higher_high,lower_high
197,202,bearish,higher_high,lower_high
250,255,bearish,higher_high,lower_high
306,311,bearish,higher_high,lower_high
375,380,bearish,higher_high,lower_high
400,405,bearish,higher_high,lower_high
435,440,bearish,higher_high,lower_high
494,499,bearish,higher_high,lower_high
545,550,bearish,higher_high,lower_high
633,638,bearish,higher_high,lower_high
644,649,bearish,higher_high,lower_high
694,699,bearish,higher_high,lower_high
756,761,bearish,higher_high,lower_high
874,879,bearish,higher_high,lower_high
953,958,bearish,higher_high,lower_high
964,969,bearish,higher_high,lower_high
981,986,bearish,higher_high,lower_high
997,1002,bearish,higher_high,lower_high
1201,1206,bearish,higher_high,lower_high
1242,1247,bearish,higher_high,lower_high
1352,1357,bearish,higher_high,lower_high
1381,1386,bearish,higher_high,lower_high
1396,1401,bearish,higher_high,lower_high
1601,1606,bearish,higher_high,lower_high
1692,1697,bearish,higher_high,lower_high
1704,1709,bearish,higher_high,lower_high
2027,2032,bearish,higher_high,lower_high
2095,2100,bearish,higher_high,lower_high
2115,2120,bearish,higher_high,lower_high
2128,2133,bearish,higher_high,lower_high
2214,2219,bearish,higher_high,lower_high
2246,2251,bearish,higher_high,lower_high
2273,2278,bearish,higher_high,lower_high
2401,2406,bearish,higher_high,lower_high
2488,2493,bearish,higher_high,lower_high
2571,2576,bearish,higher_high,lower_high
2581,2586,bearish,higher_high,lower_high
2665,2670,bearish,higher_high,lower_high
2720,2725,bearish,higher_high,lower_high
2769,2774,bearish,higher_high,lower_high
2870,2875,bearish,higher_high,lower_high
2898,2903,bearish,higher_high,lower_high
2989,2994,bearish,higher_high,lower_high
3006,3011,bearish,higher_high,lower_high
3052,3057,bearish,higher_high,lower_high
3099,3104,bearish,higher_high,lower_high
3251,3256,bearish,higher_high,lower_high
3293,3298,bearish,higher_high,lower_high
3322,3327,bearish,higher_high,lower_high
3582,3587,bearish,higher_high,lower_high
3595,3600,bearish,higher_high,lower_high
3606,3611,bearish,higher_high,lower_high
3742,3747,bearish,higher_high,lower_high
3758,3763,bearish,higher_high,lower_high
3774,3779,bearish,higher_high,lower_high
3904,3909,bearish,higher_high,lower_high
3932,3937,bearish,higher_high,lower_high
3956,3961,bearish,higher_high,lower_high
4042,4047,bearish,higher_high,lower_high
4056,4061,bearish,higher_high,lower_high
4159,4164,bearish,higher_high,lower_high
4170,4175,bearish,higher_high,lower_high
4183,4188,bearish,higher_high,lower_high
4225,4230,bearish,higher_high,lower_high
4248,4253,bearish,higher_high,lower_high
4388,4393,bearish,higher_high,lower_high
4444,4449,bearish,higher_high,lower_high
4475,4480,bearish,higher_high,lower_high
4486,4491,bearish,higher_high,lower_high
4499,4504,bearish,higher_high,lower_high
4616,4621,bearish,higher_high,lower_high
4641,4646,bearish,higher_high,lower_high
4724,4729,bearish,higher_high,lower_high
4833,4838,bearish,higher_high,lower_high
4998,5003,bearish,higher_high,lower_high
5008,5013,bearish,higher_high,lower_high
5021,5026,bearish,higher_high,lower_high
5111,5116,bearish,higher_high,lower_high
5149,5154,bearish,higher_high,lower_high
5184,5189,bearish,higher_high,lower_high
5370,5375,bearish,higher_high,lower_high
5446,5451,bearish,higher_high,lower_high
5498,5503,bearish,higher_high,lower_high
5508,5513,bearish,higher_high,lower_high
5546,5551,bearish,higher_high,lower_high
5558,5563,bearish,higher_high,lower_high
5685,5690,bearish,higher_high,lower_high
5717,5722,bearish,higher_high,lower_high
5887,5892,bearish,higher_high,lower_high
6165,6170,bearish,higher_high,lower_high
6177,6182,bearish,higher_high,lower_high
6208,6213,bearish,higher_high,lower_high
6336,6341,bearish,higher_high,lower_high
6406,6411,bearish,higher_high,lower_high
6434,6439,bearish,higher_high,lower_high
6649,6654,bearish,higher_high,lower_high
6702,6707,bearish,higher_high,lower_high
6774,6779,bearish,higher_high,lower_high
6788,6793,bearish,higher_high,lower_high
6851,6856,bearish,higher_high,lower_high
6877,6882,bearish,higher_high,lower_high
6899,6904,bearish,higher_high,lower_high
6934,6939,bearish,higher_high,lower_high
7011,7016,bearish,higher_high,lower_high
7067,7072,bearish,higher_high,lower_high
7126,7131,bearish,higher_high,lower_high
7141,7146,bearish,higher_high,lower_high
7330,7335,bearish,higher_high,lower_high
7357,7362,bearish,higher_high,lower_high
7378,7383,bearish,higher_high,lower_high
7389,7394,bearish,higher_high,lower_high
7417,7422,bearish,higher_high,lower_high
7533,7538,bearish,higher_high,lower_high
7565,7570,bearish,higher_high,lower_high
7646,7651,bearish,higher_high,lower_high
7664,7669,bearish,higher_high,lower_high
7869,7874,bearish,higher_high,lower_high
7994,7999,bearish,higher_high,lower_high
8139,8144,bearish,higher_high,lower_high
8151,8156,bearish,higher_high,lower_high
8207,8212,bearish,higher_high,lower_high
8302,8307,bearish,higher_high,lower_high
8353,8358,bearish,higher_high,lower_high
8395,8400,bearish,higher_high,lower_high
8662,8667,bearish,higher_high,lower_high
8713,8718,bearish,higher_high,lower_high
8791,8796,bearish,higher_high,lower_high
8843,8848,bearish,higher_high,lower_high
8858,8863,bearish,higher_high,lower_high
8868,8873,bearish,higher_high,lower_high
9099,9104,bearish,higher_high,lower_high
9149,9154,bearish,higher_high,lower_high
9232,9237,bearish,higher_high,lower_high
9246,9251,bearish,higher_high,lower_high
9352,9357,bearish,higher_high,lower_high
9684,9689,bearish,higher_high,lower_high
9777,9782,bearish,higher_high,lower_high
9935,9940,bearish,higher_high,lower_high
9996,10001,bearish,higher_high,lower_high
10007,10012,bearish,higher_high,lower_high
10021,10026,bearish,higher_high,lower_high
10085,10090,bearish,higher_high,lower_high
