peak_idx,confirm_idx,div_type,price_direction,indicator_direction
93,98,bearish,higher_high,lower_high
107,112,bearish,higher_high,lower_high
318,323,bearish,higher_high,lower_high
461,466,bearish,higher_high,lower_high
514,519,bearish,higher_high,lower_high
524,529,bearish,higher_high,lower_high
565,570,bearish,higher_high,lower_high
575,580,bearish,higher_high,lower_high
585,590,bearish,higher_high,lower_high
827,832,bearish,higher_high,lower_high
883,888,bearish,higher_high,lower_high
927,932,bearish,higher_high,lower_high
956,961,bearish,higher_high,lower_high
966,971,bearish,higher_high,lower_high
1101,1106,bearish,higher_high,lower_high
1133,1138,bearish,higher_high,lower_high
1207,1212,bearish,higher_high,lower_high
1340,1345,bearish,higher_high,lower_high
1353,1358,bearish,higher_high,lower_high
1425,1430,bearish,higher_high,lower_high
1460,1465,bearish,higher_high,lower_high
1475,1480,bearish,higher_high,lower_high
1498,1503,bearish,higher_high,lower_high
1514,1519,bearish,higher_high,lower_high
1566,1571,bearish,higher_high,lower_high
1577,1582,bearish,higher_high,lower_high
1739,1744,bearish,higher_high,lower_high
1767,1772,bearish,higher_high,lower_high
1810,1815,bearish,higher_high,lower_high
2018,2023,bearish,higher_high,lower_high
2169,2174,bearish,higher_high,lower_high
2225,2230,bearish,higher_high,lower_high
2274,2279,bearish,higher_high,lower_high
2285,2290,bearish,higher_high,lower_high
2327,2332,bearish,higher_high,lower_high
2388,2393,bearish,higher_high,lower_high
2466,2471,bearish,higher_high,lower_high
2488,2493,bearish,higher_high,lower_high
2580,2585,bearish,higher_high,lower_high
2635,2640,bearish,higher_high,lower_high
2652,2657,bearish,higher_high,lower_high
2664,2669,bearish,higher_high,lower_high
2737,2742,bearish,higher_high,lower_high
2792,2797,bearish,higher_high,lower_high
2929,2934,bearish,higher_high,lower_high
2945,2950,bearish,higher_high,lower_high
3090,3095,bearish,higher_high,lower_high
3100,3105,bearish,higher_high,lower_high
3273,3278,bearish,higher_high,lower_high
3319,3324,bearish,higher_high,lower_high
3330,3335,bearish,higher_high,lower_high
3347,3352,bearish,higher_high,lower_high
3401,3406,bearish,higher_high,lower_high
3425,3430,bearish,higher_high,lower_high
3528,3533,bearish,higher_high,lower_high
3612,3617,bearish,higher_high,lower_high
3624,3629,bearish,higher_high,lower_high
3675,3680,bearish,higher_high,lower_high
3689,3694,bearish,higher_high,lower_high
3833,3838,bearish,higher_high,lower_high
3888,3893,bearish,higher_high,lower_high
3954,3959,bearish,higher_high,lower_high
3975,3980,bearish,higher_high,lower_high
4087,4092,bearish,higher_high,lower_high
4107,4112,bearish,higher_high,lower_high
4177,4182,bearish,higher_high,lower_high
4187,4192,bearish,higher_high,lower_high
4199,4204,bearish,higher_high,lower_high
4287,4292,bearish,higher_high,lower_high
4304,4309,bearish,higher_high,lower_high
4314,4319,bearish,higher_high,lower_high
4363,4368,bearish,higher_high,lower_high
4408,4413,bearish,higher_high,lower_high
4544,4549,bearish,higher_high,lower_high
4620,4625,bearish,higher_high,lower_high
4692,4697,bearish,higher_high,lower_high
4763,4768,bearish,higher_high,lower_high
4820,4825,bearish,higher_high,lower_high
4873,4878,bearish,higher_high,lower_high
4960,4965,bearish,higher_high,lower_high
4971,4976,bearish,higher_high,lower_high
4995,5000,bearish,higher_high,lower_high
5056,5061,bearish,higher_high,lower_high
5066,5071,bearish,higher_high,lower_high
5079,5084,bearish,higher_high,lower_high
5143,5148,bearish,higher_high,lower_high
5212,5217,bearish,higher_high,lower_high
5268,5273,bearish,higher_high,lower_high
5314,5319,bearish,higher_high,lower_high
5360,5365,bearish,higher_high,lower_high
5385,5390,bearish,higher_high,lower_high
5472,5477,bearish,higher_high,lower_high
5494,5499,bearish,higher_high,lower_high
5783,5788,bearish,higher_high,lower_high
5968,5973,bearish,higher_high,lower_high
6025,6030,bearish,higher_high,lower_high
6045,6050,bearish,higher_high,lower_high
6174,6179,bearish,higher_high,lower_high
6234,6239,bearish,higher_high,lower_high
6316,6321,bearish,higher_high,lower_high
6331,6336,bearish,higher_high,lower_high
6341,6346,bearish,higher_high,lower_high
6372,6377,bearish,higher_high,lower_high
6430,6435,bearish,higher_high,lower_high
6543,6548,bearish,higher_high,lower_high
6606,6611,bearish,higher_high,lower_high
6822,6827,bearish,higher_high,lower_high
6844,6849,bearish,higher_high,lower_high
6894,6899,bearish,higher_high,lower_high
6909,6914,bearish,higher_high,lower_high
6932,6937,bearish,higher_high,lower_high
6945,6950,bearish,higher_high,lower_high
7030,7035,bearish,higher_high,lower_high
7045,7050,bearish,higher_high,lower_high
7088,7093,bearish,higher_high,lower_high
66,71,bullish,lower_low,higher_low
265,270,bullish,lower_low,higher_low
385,390,bullish,lower_low,higher_low
438,443,bullish,lower_low,higher_low
686,691,bullish,lower_low,higher_low
1066,1071,bullish,lower_low,higher_low
1154,1159,bullish,lower_low,higher_low
1259,1264,bullish,lower_low,higher_low
1269,1274,bullish,lower_low,higher_low
1304,1309,bullish,lower_low,higher_low
1373,1378,bullish,lower_low,higher_low
1530,1535,bullish,lower_low,higher_low
1550,1555,bullish,lower_low,higher_low
1709,1714,bullish,lower_low,higher_low
1867,1872,bullish,lower_low,higher_low
1878,1883,bullish,lower_low,higher_low
1957,1962,bullish,lower_low,higher_low
1975,1980,bullish,lower_low,higher_low
1985,1990,bullish,lower_low,higher_low
2100,2105,bullish,lower_low,higher_low
2123,2128,bullish,lower_low,higher_low
2559,2564,bullish,lower_low,higher_low
2831,2836,bullish,lower_low,higher_low
2881,2886,bullish,lower_low,higher_low
3051,3056,bullish,lower_low,higher_low
3168,3173,bullish,lower_low,higher_low
3178,3183,bullish,lower_low,higher_low
3240,3245,bullish,lower_low,higher_low
3254,3259,bullish,lower_low,higher_low
3292,3297,bullish,lower_low,higher_low
3364,3369,bullish,lower_low,higher_low
3375,3380,bullish,lower_low,higher_low
3766,3771,bullish,lower_low,higher_low
3864,3869,bullish,lower_low,higher_low
4015,4020,bullish,lower_low,higher_low
4026,4031,bullish,lower_low,higher_low
4131,4136,bullish,lower_low,higher_low
4421,4426,bullish,lower_low,higher_low
4439,4444,bullish,lower_low,higher_low
4583,4588,bullish,lower_low,higher_low
4721,4726,bullish,lower_low,higher_low
4737,4742,bullish,lower_low,higher_low
4846,4851,bullish,lower_low,higher_low
4914,4919,bullish,lower_low,higher_low
4924,4929,bullish,lower_low,higher_low
4935,4940,bullish,lower_low,higher_low
5015,5020,bullish,lower_low,higher_low
5179,5184,bullish,lower_low,higher_low
5291,5296,bullish,lower_low,higher_low
5542,5547,bullish,lower_low,higher_low
5615,5620,bullish,lower_low,higher_low
5707,5712,bullish,lower_low,higher_low
5718,5723,bullish,lower_low,higher_low
5849,5854,bullish,lower_low,higher_low
5928,5933,bullish,lower_low,higher_low
6090,6095,bullish,lower_low,higher_low
6134,6139,bullish,lower_low,higher_low
6460,6465,bullish,lower_low,higher_low
6498,6503,bullish,lower_low,higher_low
6644,6649,bullish,lower_low,higher_low
6704,6709,bullish,lower_low,higher_low
6745,6750,bullish,lower_low,higher_low
6787,6792,bullish,lower_low,higher_low
6797,6802,bullish,lower_low,higher_low
6875,6880,bullish,lower_low,higher_low
7007,7012,bullish,lower_low,higher_low
7148,7153,bullish,lower_low,higher_low
