flip_idx,confirmed,bars_to_confirm
24,True,5.0
73,True,14.0
177,True,1.0
199,True,11.0
282,True,4.0
303,True,20.0
326,False,
370,True,5.0
398,False,
449,True,1.0
484,True,1.0
638,True,1.0
674,True,20.0
693,True,1.0
731,True,1.0
770,True,1.0
800,True,13.0
863,True,4.0
903,True,5.0
1023,True,7.0
1077,True,4.0
1166,True,4.0
1207,True,15.0
1231,True,11.0
1315,True,12.0
1336,False,
1403,False,
1566,False,
1609,True,12.0
1636,True,20.0
1654,True,2.0
1719,False,
1790,True,4.0
1845,True,1.0
1919,True,17.0
1997,True,12.0
2013,False,
2041,True,19.0
2160,False,
2200,True,18.0
2257,True,1.0
2435,True,1.0
2445,True,5.0
2518,True,1.0
2575,False,
2618,False,
2718,True,4.0
2771,True,5.0
2856,True,1.0
2919,False,
2927,False,
3000,False,
3077,False,
3115,True,13.0
3194,False,
3265,False,
3300,True,20.0
3382,True,3.0
3495,True,2.0
3516,True,3.0
3588,True,5.0
3653,True,1.0
3770,False,
3792,False,
3824,True,4.0
3834,True,1.0
3878,True,18.0
3913,True,9.0
3928,True,16.0
4064,False,
4074,True,20.0
4176,False,
4376,True,15.0
4426,False,
4442,True,18.0
4455,True,5.0
4457,True,3.0
4521,True,20.0
4597,True,1.0
4664,True,1.0
4750,False,
4857,True,19.0
4948,False,
5023,True,1.0
5043,True,6.0
5246,True,1.0
5312,True,8.0
5331,True,17.0
5438,True,9.0
5446,True,1.0
5666,False,
5729,False,
5819,True,3.0
5893,True,16.0
5968,True,9.0
5990,True,6.0
6011,False,
6163,False,
6192,False,
6198,True,20.0
6303,True,19.0
6410,True,2.0
6466,True,2.0
6519,True,1.0
6583,True,1.0
6659,False,
6723,True,9.0
6807,False,
6810,False,
6894,False,
7019,True,19.0
