flip_idx,confirmed,bars_to_confirm
25,True,1.0
43,True,12.0
80,True,1.0
85,True,1.0
227,True,6.0
376,False,
429,True,2.0
601,True,8.0
673,False,
735,True,4.0
759,False,
782,True,1.0
895,True,18.0
922,True,13.0
996,True,10.0
1005,True,1.0
1059,True,11.0
1061,True,9.0
1142,True,8.0
1199,True,9.0
1354,True,5.0
1368,True,15.0
1455,True,7.0
1505,True,2.0
1563,False,
1650,True,11.0
1805,True,10.0
1838,True,1.0
1953,False,
2091,True,18.0
2251,True,4.0
2284,True,19.0
2300,True,3.0
2333,True,1.0
2397,True,3.0
2431,True,2.0
2466,True,8.0
2468,True,6.0
2505,True,2.0
2544,True,1.0
2601,True,1.0
2694,False,
2730,True,11.0
2807,True,1.0
2978,True,12.0
3099,True,10.0
3123,True,16.0
3221,True,15.0
3307,True,20.0
3332,False,
3449,True,17.0
3653,True,7.0
3675,True,13.0
3852,False,
3876,True,11.0
3917,True,7.0
3945,False,
4180,True,2.0
4305,True,1.0
4379,True,5.0
4489,True,16.0
4526,False,
4568,True,2.0
4586,True,3.0
4648,False,
4680,True,7.0
4752,True,3.0
4824,True,7.0
4852,False,
4916,True,14.0
4918,True,12.0
4970,True,11.0
4996,True,8.0
5141,False,
5208,True,20.0
5280,True,1.0
5417,True,11.0
5433,False,
5480,False,
5560,True,3.0
5679,True,3.0
5772,True,11.0
5805,False,
5867,True,8.0
5880,True,10.0
5946,True,13.0
5997,True,6.0
6167,False,
6282,True,9.0
6334,False,
6365,True,11.0
6423,False,
6445,False,
6537,True,8.0
6598,True,12.0
6694,True,4.0
6759,True,20.0
6781,False,
6855,True,1.0
6975,False,
7006,True,10.0
7040,True,10.0
7128,False,
7227,True,10.0
7290,True,17.0
7305,True,2.0
7345,True,12.0
7395,True,1.0
7421,True,7.0
7531,False,
7572,False,
7584,True,19.0
7644,True,8.0
7803,False,
7934,False,
7992,True,2.0
8056,True,8.0
8099,False,
8130,True,1.0
8315,True,11.0
8347,False,
8476,False,
8486,False,
8595,True,14.0
8614,False,
8645,True,12.0
8785,True,6.0
8874,False,
8879,True,18.0
8910,True,15.0
8951,True,5.0
8993,False,
9077,False,
9259,False,
9290,False,
9407,True,19.0
9527,False,
9544,True,4.0
9555,True,3.0
9633,True,15.0
9714,True,4.0
9779,True,1.0
9854,True,11.0
9862,True,3.0
9974,True,6.0
9996,False,
10065,False,
10136,True,6.0
10197,False,
10226,True,1.0
10277,True,3.0
10333,True,1.0
10349,True,1.0
10459,False,
10563,False,
10588,True,2.0
10644,False,
10737,False,
10809,True,17.0
10905,True,8.0
10947,False,
10999,False,
11001,False,
11010,False,
11017,True,15.0
11186,True,8.0
11209,False,
11302,True,4.0
11404,True,1.0
11480,True,11.0
11506,False,
11627,True,20.0
11688,False,
11716,True,17.0
11910,True,20.0
11928,True,2.0
11935,False,
12048,True,9.0
12087,False,
12149,False,
12181,True,15.0
12271,True,1.0
12407,True,4.0
12430,False,
12468,True,12.0
12599,False,
12630,True,15.0
12701,True,2.0
12795,True,2.0
12857,True,15.0
12968,False,
13084,True,4.0
13157,True,1.0
13226,True,2.0
13355,False,
13388,False,
13409,True,6.0
13465,False,
13542,True,7.0
13566,True,5.0
13586,True,2.0
13666,False,
13747,True,5.0
13786,False,
14048,True,18.0
14060,True,6.0
14098,True,11.0
14233,True,11.0
14255,True,16.0
14282,True,16.0
14313,True,14.0
14358,True,1.0
14471,False,
14482,False,
14514,True,1.0
14594,True,18.0
14861,False,
14888,True,1.0
14992,True,5.0
15100,False,
15141,True,9.0
15215,True,4.0
15249,False,
15311,True,11.0
15323,True,10.0
15361,False,
15401,True,6.0
15483,True,1.0
15726,True,14.0
15824,False,
15890,True,13.0
15915,True,19.0
15932,True,2.0
16082,True,2.0
16121,True,1.0
16167,True,13.0
16226,True,11.0
16263,False,
16276,False,
16334,True,7.0
16440,False,
16508,True,5.0
16547,False,
16685,True,20.0
16758,True,1.0
16813,True,4.0
16835,True,2.0
16953,False,
17112,True,16.0
17185,False,
17208,True,2.0
17226,True,6.0
17358,True,14.0
17363,True,9.0
17425,False,
17527,False,
17582,True,7.0
17621,True,9.0
17629,True,1.0
17824,False,
17837,True,16.0
17886,False,
17909,False,
17983,False,
18032,True,1.0
18116,False,
18223,False,
18240,False,
18263,True,2.0
18306,False,
18391,True,9.0
18413,True,19.0
18515,True,1.0
18630,False,
18677,False,
18766,True,17.0
18842,False,
18966,False,
19114,False,
19264,False,
19317,True,12.0
19370,True,12.0
19394,False,
19458,True,2.0
19563,False,
19696,False,
19766,True,1.0
19874,True,3.0
19910,True,3.0
19974,True,16.0
20099,False,
20138,True,8.0
20192,False,
20217,True,11.0
