,cross_correlation
-20,-0.004239393506536162
-19,-0.005039127888192825
-18,-0.005553616992688536
-17,-0.0055042443292376885
-16,-0.00541306540126413
-15,-0.005138576396799539
-14,-0.005134668421260091
-13,-0.004038393551654759
-12,-0.002504955185473564
-11,-0.0009297709777045442
-10,-0.0002503575460916701
-9,0.00013251836303985055
-8,0.0006544465651400626
-7,0.0015491264363213103
-6,0.0014447040575573957
-5,0.00039938112285362243
-4,-0.0005241875301234409
-3,-0.0015034499886706543
-2,-0.0009540157743739247
-1,-0.0010299434911178271
0,0.0009638034936941965
1,0.0035780498250553208
2,0.0048520344546352035
3,0.006593162327201324
4,0.008040525195629976
5,0.008323791540219163
6,0.0087300936076349
7,0.008446807141731573
8,0.008171100251752246
9,0.007564353832929877
10,0.006682088892313465
11,0.006626110686783815
12,0.007386320683858629
13,0.007241181238453735
14,0.006979088744534353
15,0.007044719023657387
16,0.006753382341158265
17,0.006222702133673645
18,0.005269823608657565
19,0.004707892644239682
20,0.002300609964380207
