,cross_correlation
-20,-0.06266108976284887
-19,-0.07588136585026824
-18,-0.06963011051297131
-17,-0.04927739629262898
-16,-0.030947725930089386
-15,-0.009345258404390532
-14,0.011880646330792359
-13,0.02314685232522008
-12,0.030423214675328165
-11,0.028181180144917474
-10,0.017147598114352177
-9,0.023625166211115094
-8,0.019169305196083175
-7,0.01320811598260822
-6,0.023967438974603756
-5,0.03465538224167998
-4,0.030682751433371732
-3,0.03142469066289346
-2,0.020973343075655185
-1,0.012033589654525025
0,0.030157563599816355
1,0.03643585671200554
2,0.04124144478024024
3,0.04950369955734333
4,0.052512513935266555
5,0.05224594401399993
6,0.03914879048609292
7,0.03448307067588358
8,0.022046880203437362
9,0.027574885762722
10,0.02626232649989514
11,0.017489979086968782
12,0.005035858037177739
13,0.0005354847567520077
14,-0.009797415310148383
15,-0.015698847060084915
16,-0.02765870461199957
17,-0.039491051484198285
18,-0.042709860070842744
19,-0.03471928565587914
20,-0.029713910935721725
