group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,5451,258,6.794694070290299e-05,0.5576958356264905,2.4226038502305594,0.015409720592733446
bull_accel,ret_fwd_6,5451,258,0.0001532810119890183,0.5582461933590167,3.3631317285527516,0.0007706358150627168
bull_accel,ret_fwd_12,5451,258,0.00028736726551265165,0.5740231150247661,3.5878492499248686,0.00033341696143332657
bull_decel,ret_fwd_3,4030,212,0.00011032539170172193,0.5280397022332506,0.9435445111716412,0.3454024592378988
bull_decel,ret_fwd_6,4030,212,4.525098086692798e-05,0.5203473945409429,0.46297886549020706,0.6433795161303391
bull_decel,ret_fwd_12,4030,212,-2.6802620768994373e-05,0.5106699751861042,-0.16602298816381753,0.8681388592874857
bear_decel,ret_fwd_3,4791,236,3.917018539314462e-05,0.5278647463994991,0.7892082040612175,0.42999032774715196
bear_decel,ret_fwd_6,4791,236,1.8548928237752764e-05,0.5180546858693383,0.21678728170081954,0.8283741240048045
bear_decel,ret_fwd_12,4791,236,-5.653847657586363e-05,0.5174285117929451,-0.4781351181743785,0.6325540382454957
bear_accel,ret_fwd_3,5090,265,5.917568564326934e-05,0.5227897838899803,1.5553531500536015,0.11986198546895914
bear_accel,ret_fwd_6,5090,265,0.00010069146435827654,0.5296776729559748,1.4564753823605394,0.14526125010507385
bear_accel,ret_fwd_12,5090,265,0.00013746909424730235,0.5281274586939417,1.2018236382086929,0.22943186500672352
unconditional,ret_fwd_3,24688,971,9.303579449635909e-05,0.5369410239792611,3.231729748566785,0.0012304336578443289
unconditional,ret_fwd_6,24688,971,0.00011647107175515781,0.5384023333063275,3.3767385982369875,0.0007335072320328787
unconditional,ret_fwd_12,24688,971,0.00013826588952507035,0.5397050482132728,2.534961389341403,0.011245972061797175
