group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,7814,1549,0.00016642245740954852,0.5575889429229588,2.1486410278341923,0.03166286675207168
bull_accel,ret_fwd_6,7814,1549,0.00015881107963064818,0.558356795495265,2.1731865756131277,0.0297662777392549
bull_accel,ret_fwd_12,7814,1549,0.00024519142837123466,0.5669311492193498,2.432566979490882,0.014992218358355089
bull_decel,ret_fwd_3,5514,1298,9.969738155396952e-05,0.5380848748639826,2.0476885241613756,0.04059052901743069
bull_decel,ret_fwd_6,5514,1298,0.00010245014823583798,0.5223068552774756,1.2632901728266337,0.20648491660765134
bull_decel,ret_fwd_12,5514,1298,2.456370241601434e-05,0.5302865433442148,0.2299816600805973,0.8181060209119252
bear_decel,ret_fwd_3,5855,1281,4.526873850545573e-06,0.5108454312553373,0.14224814308642938,0.8868840057058401
bear_decel,ret_fwd_6,5855,1281,4.3596540206415097e-05,0.5156330087134803,0.7379639634179079,0.46053634798917376
bear_decel,ret_fwd_12,5855,1281,0.00012034200150702426,0.5223115062403829,1.141091589145916,0.2538318110156723
bear_accel,ret_fwd_3,4670,1248,4.759365588426167e-05,0.5314775160599572,1.2458457118058235,0.21282104388169043
bear_accel,ret_fwd_6,4670,1248,0.000111366402199165,0.5423982869379015,1.787522874550838,0.07385301839444142
bear_accel,ret_fwd_12,4670,1248,5.1460547082453055e-05,0.512847965738758,0.463035380001836,0.6433390073682917
unconditional,ret_fwd_3,24688,5376,9.303579449635909e-05,0.5369410239792611,3.231729748566785,0.0012304336578443289
unconditional,ret_fwd_6,24688,5376,0.00011647107175515781,0.5384023333063275,3.3767385982369875,0.0007335072320328787
unconditional,ret_fwd_12,24688,5376,0.00013826588952507035,0.5397050482132728,2.534961389341403,0.011245972061797175
