group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,4235,935,0.00019005147214522987,0.549232585596222,2.6888580056978526,0.007169690957918045
bull_accel,ret_fwd_6,4235,935,0.0002150308202081061,0.5541912632821724,2.6957776201174,0.007022453176888142
bull_accel,ret_fwd_12,4235,935,0.00021973871542896371,0.5638724911452184,1.6808803642343728,0.09278615469424617
bull_decel,ret_fwd_3,7321,1658,3.86309708267981e-05,0.5368119109411282,1.3920919791180077,0.16389454680672544
bull_decel,ret_fwd_6,7321,1658,9.348907171906637e-05,0.5359923507717524,1.8711866450273051,0.06131921520618093
bull_decel,ret_fwd_12,7321,1658,0.00013650414325629143,0.5292992760551837,1.6290112324514956,0.10331064112559515
bear_decel,ret_fwd_3,3592,781,0.00020718238939136855,0.5453786191536748,1.6037212208154428,0.10877551614719769
bear_decel,ret_fwd_6,3592,781,0.0002130376981500171,0.5503897550111359,1.9264485844826411,0.054048385940014494
bear_decel,ret_fwd_12,3592,781,0.00032505754470268776,0.5509465478841871,1.9551236397849971,0.05056847864642787
bear_accel,ret_fwd_3,8705,2002,3.0676530592695366e-05,0.5263641585295807,0.7701827643048031,0.4411914864455967
bear_accel,ret_fwd_6,8705,2002,2.5369540654150028e-05,0.5223486154199701,0.4420208766524736,0.6584740989988395
bear_accel,ret_fwd_12,8705,2002,-1.1722703194465297e-05,0.5244280951833544,-0.1265534896144077,0.8992938107661992
unconditional,ret_fwd_3,24688,5376,9.303579449635912e-05,0.5369410239792611,3.231729748566785,0.0012304336578443289
unconditional,ret_fwd_6,24688,5376,0.00011647107175515781,0.5384023333063275,3.3767385982369875,0.0007335072320328787
unconditional,ret_fwd_12,24688,5376,0.00013826588952507035,0.5397050482132728,2.534961389341403,0.011245972061797175
