group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,4630,258,6.411927840721373e-05,0.5228941684665227,1.908971008758239,0.05626583168127751
bull_accel,ret_fwd_6,4630,258,0.00016573127608389597,0.5339092872570195,2.907933515679465,0.003638256774786888
bull_accel,ret_fwd_12,4630,258,0.0002799231801871289,0.5300215982721382,2.99751947768953,0.0027218646489840037
bull_decel,ret_fwd_3,4212,211,-4.7049026763239794e-05,0.495014245014245,-0.8516556192855206,0.39440525976547747
bull_decel,ret_fwd_6,4212,211,-0.00011841027394824026,0.501661918328585,-1.120750913478231,0.26239390365032855
bull_decel,ret_fwd_12,4212,211,-0.0001784451240767509,0.4988129154795821,-1.1543621532251696,0.2483517247360011
bear_decel,ret_fwd_3,4350,236,-1.827344799667377e-05,0.500919540229885,-0.3902966507533496,0.696317199628006
bear_decel,ret_fwd_6,4350,236,-3.6955661031092264e-06,0.49310344827586206,-0.04807556706314071,0.9616560183432294
bear_decel,ret_fwd_12,4350,236,5.538572996822541e-05,0.5128735632183908,0.5700232227701112,0.5686619473849664
bear_accel,ret_fwd_3,5200,266,2.0898349445763743e-05,0.5063461538461539,0.539509664069361,0.5895352305014223
bear_accel,ret_fwd_6,5200,266,6.890203101846164e-05,0.5076923076923077,1.015721038765687,0.30976224644768036
bear_accel,ret_fwd_12,5200,266,0.00018176425639152954,0.5261538461538462,1.599734317232252,0.10965753543628422
unconditional,ret_fwd_3,23370,971,-6.02857270108233e-06,0.5075310226786478,-0.2368283408382014,0.8127899641022641
unconditional,ret_fwd_6,23370,971,3.1490978985167176e-05,0.5120667522464698,0.8329121430659797,0.4048942806777516
unconditional,ret_fwd_12,23370,971,0.0001117501328368856,0.5214377406931964,2.0217463033736673,0.04320256766093787
