group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,3173,169,2.3918669913553318e-05,0.5225338796092026,0.6193965142823037,0.5356551768907905
bull_accel,ret_fwd_6,3173,169,5.4444617941537515e-05,0.53230381342578,0.8286401981079715,0.40730803442249763
bull_accel,ret_fwd_12,3173,169,0.00011683985384823254,0.5433343838638512,1.0564232899361132,0.29077487018289605
bull_decel,ret_fwd_3,5161,277,1.4383973656171626e-05,0.4946715752761093,0.3841128220643146,0.7008948284864998
bull_decel,ret_fwd_6,5161,277,1.4460153963708087e-05,0.4948653361751599,0.23166943407398463,0.8167947736200412
bull_decel,ret_fwd_12,5161,277,4.3388773110032493e-05,0.5070722728153458,0.43569223497951987,0.6630600403200264
bear_decel,ret_fwd_3,3069,163,-3.093796517945478e-05,0.4988595633756924,-0.5388572360479196,0.5899853666365464
bear_decel,ret_fwd_6,3069,163,-1.5883490344704558e-05,0.5047246660149886,-0.14782636495227613,0.8824798017065412
bear_decel,ret_fwd_12,3069,163,2.1795621206113296e-06,0.5030954708374064,0.014699299973666815,0.9882720778388114
bear_accel,ret_fwd_3,6989,362,1.04024415641171e-05,0.5116611818572042,0.2543254127851041,0.7992441685346681
bear_accel,ret_fwd_6,6989,362,5.8974300712352e-05,0.5119473458291601,0.8109392413062987,0.4174005636367013
bear_accel,ret_fwd_12,6989,362,0.00016156590782993136,0.5203891830018601,1.4865314944347892,0.1371385927601978
unconditional,ret_fwd_3,23370,971,-6.02857270108233e-06,0.5075310226786478,-0.2368283408382014,0.8127899641022641
unconditional,ret_fwd_6,23370,971,3.1490978985167176e-05,0.5120667522464698,0.8329121430659797,0.4048942806777516
unconditional,ret_fwd_12,23370,971,0.0001117501328368856,0.5214377406931964,2.0217463033736673,0.04320256766093787
