group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,3578,811,-0.00010988719737340946,0.5044717719396311,-0.8932231075530583,0.37173770586985355
bull_accel,ret_fwd_6,3578,811,-5.949722479495148e-05,0.5055897149245389,-0.43378976715726986,0.6644411130714005
bull_accel,ret_fwd_12,3578,811,-2.0028805092110538e-06,0.5217998882057016,-0.011978848564262259,0.9904424902472527
bull_decel,ret_fwd_3,6967,1599,3.615719846473744e-05,0.5155734175398307,1.1634778175032974,0.24463569303467536
bull_decel,ret_fwd_6,6967,1599,0.0001046362881152716,0.5204535668149849,1.788986165509019,0.07361704360185238
bull_decel,ret_fwd_12,6967,1599,0.00023503653839470031,0.5359552174537103,2.7108541484155233,0.006711013894656967
bear_decel,ret_fwd_3,2972,672,-5.275962274625716e-05,0.5013458950201884,-0.7389445430058964,0.45994067305831
bear_decel,ret_fwd_6,2972,672,-5.009601758770749e-06,0.528263795423957,-0.04150299893460794,0.9668949021116732
bear_decel,ret_fwd_12,2972,672,2.0789002773883083e-05,0.525235531628533,0.12048769191788239,0.9040968290422836
bear_accel,ret_fwd_3,9084,2066,4.170673851858381e-06,0.5023117569352709,0.12449924171590665,0.9009200007327276
bear_accel,ret_fwd_6,9084,2066,1.0246050065863337e-08,0.49922941435490975,0.0001839645599032201,0.9998532175187462
bear_accel,ret_fwd_12,9084,2066,3.257155325751238e-05,0.5007705856450902,0.37868420916354184,0.7049223808378805
unconditional,ret_fwd_3,23370,5148,-6.02857270108233e-06,0.5075310226786478,-0.2368283408382014,0.8127899641022641
unconditional,ret_fwd_6,23370,5148,3.1490978985167176e-05,0.5120667522464698,0.8329121430659797,0.4048942806777516
unconditional,ret_fwd_12,23370,5148,0.00011175013283688557,0.5214377406931964,2.0217463033736673,0.04320256766093787
