group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,3749,990,-0.00010383400790242819,0.5342758068818352,-0.9068362494028455,0.36449339749923126
bull_accel,ret_fwd_6,3749,990,-7.380541373206453e-06,0.5449453187516671,-0.060185893489220904,0.9520075807119498
bull_accel,ret_fwd_12,3749,990,0.00025973732254618476,0.574286476393705,1.8557713148312152,0.06348616088707086
bull_decel,ret_fwd_3,2511,669,0.00011297476139941499,0.5252887295898049,2.178663483967135,0.029356676336160476
bull_decel,ret_fwd_6,2511,669,0.00013383395484495048,0.5396256471525289,1.558518239481858,0.11911044771016874
bull_decel,ret_fwd_12,2511,669,0.0003453741410998072,0.5515730784547989,2.1342172642302715,0.032825000127415016
bear_decel,ret_fwd_3,2869,793,8.251313008856142e-05,0.5008713837574068,1.4547430422513656,0.1457404118131105
bear_decel,ret_fwd_6,2869,793,7.334529725551944e-05,0.5005228302544441,0.821143161237864,0.4115647276274731
bear_decel,ret_fwd_12,2869,793,-9.521781079333879e-05,0.48762635064482396,-0.5901153647331207,0.5551133085766492
bear_accel,ret_fwd_3,4629,1218,-3.780455758325871e-06,0.5137178656297257,-0.09832794415196289,0.9216718894691446
bear_accel,ret_fwd_6,4629,1218,1.810747345057744e-05,0.5197666882696047,0.2835751392606046,0.776735991308578
bear_accel,ret_fwd_12,4629,1218,5.0989007922019454e-05,0.5132858068697342,0.49766008424259744,0.6187236465496548
unconditional,ret_fwd_3,14244,3670,1.0419364701163725e-05,0.519657399606852,0.2727389263049896,0.7850539098020364
unconditional,ret_fwd_6,14244,3670,5.091337348434832e-05,0.5271693344566133,1.0330496927531994,0.30158064418295516
unconditional,ret_fwd_12,14244,3670,0.00014305528289695017,0.5323645043527099,2.0273705941687243,0.04262452688447674
