group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,2260,560,-0.00018269916848381008,0.5132743362831859,-0.9179736529381701,0.3586326596084142
bull_accel,ret_fwd_6,2260,560,-0.00017570962881735736,0.5030973451327434,-0.8100421895815426,0.41791592821049994
bull_accel,ret_fwd_12,2260,560,6.345982057400287e-05,0.5331858407079646,0.27948843730409784,0.7798700103193328
bull_decel,ret_fwd_3,3901,1112,4.6151478683080145e-05,0.52653165854909,1.1273745991522166,0.2595841338669519
bull_decel,ret_fwd_6,3901,1112,0.00014217805608347293,0.5393488849013074,2.0577738198080966,0.039611850313829855
bull_decel,ret_fwd_12,3901,1112,0.00028468084284983527,0.5408869520635734,2.621702566633541,0.008749175076046854
bear_decel,ret_fwd_3,1950,565,9.333946576188049e-05,0.5102564102564102,1.4011850542822684,0.1611587424175569
bear_decel,ret_fwd_6,1950,565,0.00016226631661368372,0.5415384615384615,1.6336501853151009,0.1023323237426234
bear_decel,ret_fwd_12,1950,565,0.0002765327509261944,0.5574358974358974,1.376609080815885,0.1686331418400221
bear_accel,ret_fwd_3,5647,1433,2.9128318569429462e-05,0.5185054010979281,0.7419905674244249,0.45809305062088346
bear_accel,ret_fwd_6,5647,1433,2.278774754475729e-05,0.5211616787674872,0.3608598172263953,0.7182042435873242
bear_accel,ret_fwd_12,5647,1433,1.8841654456647206e-06,0.5154949530724279,0.018212737370457727,0.9854691413701053
unconditional,ret_fwd_3,14244,3670,1.0419364701163725e-05,0.519657399606852,0.2727389263049896,0.7850539098020364
unconditional,ret_fwd_6,14244,3670,5.091337348434832e-05,0.5271693344566133,1.0330496927531994,0.30158064418295516
unconditional,ret_fwd_12,14244,3670,0.00014305528289695017,0.5323645043527099,2.0273705941687243,0.04262452688447674
