bar_close,expansion_direction,lag_bars
2021-01-28 12:15:00+05:30,-1,1
2021-01-28 13:15:00+05:30,-1,1
2021-02-03 15:15:00+05:30,-1,6
2021-02-26 15:15:00+05:30,-1,3
2021-03-01 10:15:00+05:30,-1,1
2021-03-01 11:15:00+05:30,-1,1
2021-03-04 12:15:00+05:30,-1,7
2021-03-18 12:15:00+05:30,-1,10
2021-04-09 13:15:00+05:30,-1,10
2021-04-13 12:15:00+05:30,-1,8
2021-04-29 15:15:00+05:30,-1,8
2021-07-09 14:15:00+05:30,-1,1
2021-07-09 15:15:00+05:30,-1,1
2021-07-12 10:15:00+05:30,-1,1
2021-07-12 11:15:00+05:30,-1,1
2021-07-12 12:15:00+05:30,-1,1
2021-07-12 13:15:00+05:30,-1,1
2021-07-12 14:15:00+05:30,-1,1
2021-07-12 15:15:00+05:30,-1,1
2021-07-13 10:15:00+05:30,-1,1
2021-07-13 11:15:00+05:30,-1,1
2021-07-14 10:15:00+05:30,1,5
2021-07-14 11:15:00+05:30,1,1
2021-07-14 12:15:00+05:30,1,1
2021-07-14 13:15:00+05:30,1,1
2021-07-14 14:15:00+05:30,1,1
2021-07-14 15:15:00+05:30,1,1
2021-07-15 10:15:00+05:30,1,1
2021-07-20 14:15:00+05:30,-1,3
2021-07-20 15:15:00+05:30,-1,1
2021-07-22 10:15:00+05:30,-1,1
2021-07-22 11:15:00+05:30,-1,1
2021-07-23 10:15:00+05:30,1,5
2021-07-23 11:15:00+05:30,1,1
2021-07-29 12:15:00+05:30,1,10
2021-08-03 11:15:00+05:30,-1,10
2021-10-29 14:15:00+05:30,-1,1
2021-10-29 15:15:00+05:30,-1,1
2021-11-01 10:15:00+05:30,-1,1
2021-11-01 11:15:00+05:30,-1,1
2021-11-13 13:15:00+05:30,-1,4
2021-11-22 11:15:00+05:30,-1,8
2021-12-30 13:15:00+05:30,-1,2
2021-12-30 14:15:00+05:30,-1,1
2021-12-30 15:15:00+05:30,-1,1
2021-12-31 10:15:00+05:30,-1,1
2021-12-31 11:15:00+05:30,-1,1
2021-12-31 12:15:00+05:30,-1,1
2021-12-31 13:15:00+05:30,-1,1
2021-12-31 14:15:00+05:30,-1,1
2021-12-31 15:15:00+05:30,-1,1
2022-01-25 11:15:00+05:30,-1,6
2022-03-16 15:15:00+05:30,-1,1
2022-03-17 10:15:00+05:30,-1,1
2022-03-17 11:15:00+05:30,-1,1
2022-04-19 10:15:00+05:30,-1,1
2022-04-19 11:15:00+05:30,-1,1
2022-04-19 12:15:00+05:30,-1,1
2022-04-19 13:15:00+05:30,-1,1
2022-04-19 14:15:00+05:30,-1,1
2022-05-31 10:15:00+05:30,-1,1
2022-05-31 11:15:00+05:30,-1,1
2022-05-31 12:15:00+05:30,-1,1
2022-05-31 13:15:00+05:30,-1,1
2022-05-31 14:15:00+05:30,-1,1
2022-06-13 13:15:00+05:30,-1,10
2022-07-06 13:15:00+05:30,-1,7
2022-07-06 14:15:00+05:30,-1,1
2022-07-06 15:15:00+05:30,-1,1
2022-07-07 10:15:00+05:30,-1,1
2022-07-07 11:15:00+05:30,-1,1
2022-09-22 13:15:00+05:30,-1,1
2022-09-22 14:15:00+05:30,-1,1
2022-09-22 15:15:00+05:30,-1,1
2022-09-23 10:15:00+05:30,-1,1
2022-09-23 11:15:00+05:30,-1,1
2022-09-23 12:15:00+05:30,-1,1
2022-09-23 13:15:00+05:30,-1,1
2022-10-19 15:15:00+05:30,1,10
2022-12-16 12:15:00+05:30,-1,1
2022-12-16 13:15:00+05:30,-1,1
2022-12-16 14:15:00+05:30,-1,1
2022-12-16 15:15:00+05:30,-1,1
2022-12-19 10:15:00+05:30,-1,1
2022-12-19 11:15:00+05:30,-1,1
2022-12-19 12:15:00+05:30,-1,1
2022-12-19 13:15:00+05:30,-1,1
2022-12-19 14:15:00+05:30,-1,1
2022-12-19 15:15:00+05:30,-1,1
2022-12-20 10:15:00+05:30,1,1
2023-01-19 13:15:00+05:30,-1,1
2023-01-19 14:15:00+05:30,-1,1
2023-01-19 15:15:00+05:30,-1,1
2023-01-20 10:15:00+05:30,-1,1
2023-01-20 11:15:00+05:30,-1,1
2023-01-20 12:15:00+05:30,-1,1
2023-01-20 13:15:00+05:30,-1,1
2023-01-20 14:15:00+05:30,-1,1
2023-01-20 15:15:00+05:30,-1,1
2023-01-23 10:15:00+05:30,-1,1
2023-01-23 11:15:00+05:30,-1,1
2023-01-23 12:15:00+05:30,-1,1
2023-01-23 13:15:00+05:30,-1,1
2023-01-23 14:15:00+05:30,-1,1
2023-01-23 15:15:00+05:30,-1,1
2023-01-24 10:15:00+05:30,-1,1
2023-01-24 11:15:00+05:30,-1,1
