score,horizon,bull_mean_ret,bear_mean_ret,bull_n,bear_n,abs_diff
0,ret_fwd_3,0.0002522070965076794,-0.00021374663906305083,743.0,1522.0,3.846045744462857e-05
0,ret_fwd_6,0.0003968738543882402,-4.0906919289432274e-05,743.0,1522.0,0.0003559669350988079
0,ret_fwd_12,0.0005406883803791509,0.00014712068499657318,743.0,1522.0,0.00039356769538257774
1,ret_fwd_3,5.0027057688004e-05,0.00013639106473084094,5032.0,4297.0,-8.636400704283695e-05
1,ret_fwd_6,6.7326334269344e-05,0.00018031483476957263,5032.0,4297.0,-0.00011298850050022863
1,ret_fwd_12,0.00011266024368404264,0.0003892805575697659,5032.0,4297.0,-0.0002766203138857233
2,ret_fwd_3,1.0295088247515509e-05,9.511261617324386e-05,15691.0,7814.0,-8.481752792572836e-05
2,ret_fwd_6,-1.3948519555200252e-06,0.00016185224959254103,15689.0,7814.0,-0.00016045739763702102
2,ret_fwd_12,-1.3436949165516087e-05,0.0003356758216916984,15683.0,7814.0,-0.00032223887252618235
3,ret_fwd_3,1.2527410810330014e-05,4.7685463005068836e-05,25093.0,17877.0,-3.5158052194738824e-05
3,ret_fwd_6,4.512768300389181e-05,8.81969219064916e-05,25092.0,17877.0,-4.306923890259979e-05
3,ret_fwd_12,9.128450320339821e-05,0.00016657068974002936,25092.0,17877.0,-7.528618653663115e-05
4,ret_fwd_3,1.7077240333863866e-05,7.351108840031065e-06,24800.0,27479.0,9.726131493832802e-06
4,ret_fwd_6,2.3964746473518286e-05,2.1282539490060946e-05,24800.0,27479.0,2.68220698345734e-06
4,ret_fwd_12,3.389787346418996e-05,2.676123376710559e-05,24800.0,27479.0,7.136639697084367e-06
5,ret_fwd_3,7.101281116248952e-05,7.785355373486981e-06,13418.0,21237.0,6.322745578900254e-05
5,ret_fwd_6,0.00011394155343286479,4.171033625999273e-05,13418.0,21236.0,7.223121717287206e-05
5,ret_fwd_12,0.0002352776099875473,9.90715271554643e-05,13418.0,21236.0,0.000136206082832083
6,ret_fwd_3,-1.5402953810614647e-05,3.6855187669850788e-06,4945.0,9890.0,1.1717435043629567e-05
6,ret_fwd_6,0.00011446941501978223,-3.9477095795386504e-05,4945.0,9888.0,7.499231922439573e-05
6,ret_fwd_12,0.00032025625696639623,-8.593388445380312e-05,4945.0,9882.0,0.00023432237251259312
7,ret_fwd_3,7.552517687615937e-05,3.33027708367894e-05,2116.0,2248.0,4.222240603936997e-05
7,ret_fwd_6,8.42987843670432e-05,-2.6199284290290776e-05,2116.0,2248.0,5.809950007675242e-05
7,ret_fwd_12,0.00017876467519429794,-0.00016092864898194556,2116.0,2248.0,1.783602621235238e-05
8,ret_fwd_3,-1.56333228305187e-05,0.0006891762267248808,571.0,45.0,-0.0006735429038943621
8,ret_fwd_6,5.055360427123704e-06,0.0008740110115571249,571.0,45.0,-0.0008689556511300012
8,ret_fwd_12,0.00016388665716368786,-0.0005366294014978197,571.0,45.0,-0.0003727427443341319
