score,horizon,n,mean_ret,hit_rate,t_stat,p_val_raw
0,ret_fwd_3,1522,-0.00021374663906305083,0.5229960578186597,-0.8459432991286262,0.3975843761117893
0,ret_fwd_6,1522,-4.0906919289432274e-05,0.5308804204993429,-0.22287493351502294,0.8236328458765396
0,ret_fwd_12,1522,0.00014712068499657318,0.5427069645203679,0.7094455348736687,0.4780480390800822
1,ret_fwd_3,4297,0.00013639106473084094,0.5396788457063068,1.7234633575922613,0.08480476600171691
1,ret_fwd_6,4297,0.00018031483476957263,0.5520130323481499,1.8381373420570946,0.06604216988020707
1,ret_fwd_12,4297,0.0003892805575697659,0.5690016290435187,2.6438758416266386,0.0081962714730343
2,ret_fwd_3,7814,9.511261617324386e-05,0.5383926286153059,2.6077375410668218,0.009114280777458522
2,ret_fwd_6,7814,0.00016185224959254103,0.5581008446378295,2.8992232232062993,0.003740884601547745
2,ret_fwd_12,7814,0.0003356758216916984,0.5803685692347069,3.7399482061380067,0.00018405817698656014
3,ret_fwd_3,17877,4.7685463005068836e-05,0.5209487050399956,2.172732223655264,0.02980047701744949
3,ret_fwd_6,17877,8.81969219064916e-05,0.5283884320635454,2.276595640525008,0.022810383455574686
3,ret_fwd_12,17877,0.00016657068974002936,0.5429322593276277,2.689856160883786,0.00714828226808609
4,ret_fwd_3,27479,7.351108840031065e-06,0.5142472433494669,0.3944160453671559,0.6932738994502644
4,ret_fwd_6,27479,2.1282539490060946e-05,0.518250300229266,0.6143131248381187,0.5390084311623857
4,ret_fwd_12,27479,2.676123376710559e-05,0.5151206375777867,0.4602862025103005,0.6453108034212673
5,ret_fwd_3,21237,7.785355373486981e-06,0.5110891368837407,0.3485714897188171,0.727411034721524
5,ret_fwd_6,21236,4.171033625999273e-05,0.5144094933132417,1.144049677613979,0.25260303544262985
5,ret_fwd_12,21236,9.90715271554643e-05,0.5148803917875306,1.641300794526355,0.10073499126269263
6,ret_fwd_3,9890,3.6855187669850788e-06,0.5131445904954499,0.13342765836397505,0.8938551727539403
6,ret_fwd_6,9888,-3.9477095795386504e-05,0.5094053398058253,-0.8158213421517732,0.41460232491825866
6,ret_fwd_12,9882,-8.593388445380312e-05,0.5009107468123861,-0.996135808743414,0.3191841632705722
7,ret_fwd_3,2248,3.33027708367894e-05,0.520017793594306,0.3190651446344946,0.7496771139045564
7,ret_fwd_6,2248,-2.6199284290290776e-05,0.5080071174377224,-0.1891652206450606,0.849963325405126
7,ret_fwd_12,2248,-0.00016092864898194556,0.4959964412811388,-0.8316833173521089,0.40558771959736906
8,ret_fwd_3,45,0.0006891762267248808,0.6,1.8153207354585734,0.0694746342453446
8,ret_fwd_6,45,0.0008740110115571249,0.5111111111111111,1.2855489851777238,0.19860051055912942
8,ret_fwd_12,45,-0.0005366294014978197,0.4222222222222222,-0.6393822847901275,0.5225742705621969
