feature,importance_mean,importance_std
bar_in_session,0.005204937166546575,0.0013888041156496812
A_hist_slope_1h,0.00507622186733927,0.0010578059150385007
A_macd_15m,0.003822341198609469,0.00072713770477137
A_state_1h_ord,0.0032166293393410704,0.0005430081883259467
A_hist_1h,0.0030521506530719056,0.0013569731423583638
B_zroc,0.0030310813812957416,0.000627434387527789
B_roc_1h,0.002910136023551024,0.00046037684443140845
B_zroc_15m,0.0025483652078280962,0.0005312855181043274
A_signal,0.002024557603823296,0.00023292343309959282
A_hist_slope_1d,0.0018112725643489648,0.0008681931791652282
B_roc_15m,0.0015219199442825682,0.0004967131239386019
A_hist,0.0010794242655406184,0.0006264877559178346
B_roc_invalid_1d,0.0010134713635485681,0.00014847207585532863
B_roc_slope_1d,0.000976365283777425,0.0004682616985236679
B_gap_1h,0.0009533369917319567,0.00042395500748412546
