rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf
0,False,False,False,False,False,False,False,False,722,0.012431129476584021,0.0005336834055971233,0.6371191135734072,1.75222913795033,0.07973441523378443,1.0
1,True,False,False,False,False,False,False,False,779,0.013412534435261707,0.00040437674391851736,0.5648267008985879,1.484870267927315,0.13757819340989666,1.0
2,False,True,False,False,False,False,False,False,703,0.012103994490358127,0.00016173534426624887,0.5391180654338549,0.4578010123986672,0.6470954083954599,1.0
3,True,True,False,False,False,False,False,False,933,0.01606404958677686,0.0003027100813442773,0.5423365487674169,1.1558831248558707,0.2477289660111074,1.0
4,False,False,True,False,False,False,False,False,610,0.01050275482093664,-0.00011916071566619928,0.5770491803278689,-0.25713622467935693,0.7970736142062432,1.0
5,True,False,True,False,False,False,False,False,1135,0.019542011019283746,6.20430125159087e-05,0.5533039647577093,0.24751061088267517,0.8045130806243308,1.0
6,False,True,True,False,False,False,False,False,425,0.007317493112947659,-0.00010320115155964557,0.5035294117647059,-0.3822216088607766,0.7022969949191935,1.0
7,True,True,True,False,False,False,False,False,306,0.005268595041322314,-0.000306480514546756,0.4542483660130719,-1.0236900905507,0.3059816773771199,1.0
8,False,False,False,True,False,False,False,False,364,0.006267217630853994,0.00019995101376255958,0.6098901098901099,0.48656816650737617,0.6265643873323644,1.0
9,True,False,False,True,False,False,False,False,388,0.006680440771349863,-0.00029193897307988744,0.5154639175257731,-0.7974622762887651,0.42518260334207314,1.0
10,False,True,False,True,False,False,False,False,676,0.011639118457300276,-0.0004088722837695174,0.46893491124260356,-1.2544947372559996,0.20966223741242995,1.0
11,True,True,False,True,False,False,False,False,498,0.008574380165289256,-0.00034443329206329195,0.4497991967871486,-1.051987729676726,0.292805179277411,1.0
12,False,False,True,True,False,False,False,False,462,0.007954545454545454,1.3902279089739514e-05,0.4523809523809524,0.040905461569508465,0.9673712633906492,1.0
13,True,False,True,True,False,False,False,False,1020,0.01756198347107438,0.00022734941789003075,0.5352941176470588,0.8043653703117553,0.42118599463006,1.0
14,False,True,True,True,False,False,False,False,529,0.009108126721763086,7.874964662935171e-05,0.46313799621928164,0.29629812036157127,0.7670024212764466,1.0
15,True,True,True,True,False,False,False,False,407,0.007007575757575758,-0.0002538246865189679,0.4619164619164619,-1.0023846176382283,0.31615786848900207,1.0
16,False,False,False,False,True,False,False,False,957,0.016477272727272726,0.00032871500818896707,0.5109717868338558,0.9897126451558584,0.3223145925022095,1.0
17,True,False,False,False,True,False,False,False,589,0.010141184573002756,0.00029239488066718503,0.534804753820034,1.2445344844731312,0.21330291580974226,1.0
18,False,True,False,False,True,False,False,False,146,0.0025137741046831956,-0.00045047245642191935,0.4863013698630137,-0.62308096435885,0.5332313181386226,1.0
19,True,True,False,False,True,False,False,False,437,0.007524104683195592,0.00025694405972806434,0.5697940503432495,1.0734117722971521,0.28308640489261183,1.0
20,False,False,True,False,True,False,False,False,241,0.004149449035812672,0.0004489537987706045,0.5601659751037344,1.0821726032480883,0.27917583966863824,1.0
21,True,False,True,False,True,False,False,False,187,0.0032196969696969696,0.00029641020725685614,0.5935828877005348,0.4679387622038992,0.639828382775649,1.0
22,False,True,True,False,True,False,False,False,664,0.011432506887052342,0.0002713225927691374,0.5391566265060241,1.36944462837591,0.17086033207273732,1.0
23,True,True,True,False,True,False,False,False,540,0.009297520661157025,0.00020620237953518188,0.5796296296296296,0.6121103677540615,0.5404647384753118,1.0
24,False,False,False,True,True,False,False,False,1290,0.02221074380165289,-0.00014481246165701334,0.5310077519379846,-0.3513079426629004,0.7253573368522275,1.0
25,True,False,False,True,True,False,False,False,465,0.008006198347107437,-0.00029910120866366325,0.4946236559139785,-0.8172811892755331,0.4137677540750816,1.0
26,False,True,False,True,True,False,False,False,76,0.0013085399449035812,0.0034056174157723724,0.7236842105263158,1.9113506445950632,0.05595953480190687,1.0
27,True,True,False,True,True,False,False,False,266,0.004579889807162534,0.0009697920739920758,0.5977443609022557,1.810673578213012,0.07019139515559727,1.0
28,False,False,True,True,True,False,False,False,338,0.005819559228650138,0.0001792803077255846,0.5384615384615384,0.46564552789188074,0.6414692488672715,1.0
29,True,False,True,True,True,False,False,False,68,0.0011707988980716253,0.0005672768937921732,0.6029411764705882,0.8795581743463339,0.379098705384746,1.0
30,False,True,True,True,True,False,False,False,710,0.012224517906336088,-0.0005092930838216179,0.5507042253521127,-0.8439618013926331,0.39869075142182886,1.0
31,True,True,True,True,True,False,False,False,687,0.011828512396694215,0.0005844240666100161,0.6171761280931587,1.1817779754680413,0.2372938090699832,1.0
32,False,False,False,False,False,True,False,False,352,0.006060606060606061,-0.00014352250922341068,0.5255681818181818,-0.3372072578094289,0.7359606664454565,1.0
33,True,False,False,False,False,True,False,False,347,0.005974517906336088,-0.000399458467443755,0.5302593659942363,-0.5379141316665921,0.5906363317267889,1.0
34,False,True,False,False,False,True,False,False,367,0.006318870523415978,0.0004272928528882568,0.43869209809264303,0.5887675274271762,0.556017231938469,1.0
