rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf,composite
234,False,True,False,True,False,True,True,True,43,0.0007403581267217631,-0.002920273867712999,0.16279069767441862,-2.8599116568840537,0.004237590374451765,1.0,-7.290628629793126e-07
77,True,False,True,True,False,False,True,False,306,0.005268595041322314,-0.0009087199288003925,0.39215686274509803,-2.099839624713228,0.035742951265140044,1.0,-5.163181413638594e-07
139,True,True,False,True,False,False,False,True,235,0.004046143250688705,-0.0011276742886663171,0.3872340425531915,-1.6467182578592159,0.09961596963746372,1.0,-5.145208100836331e-07
137,True,False,False,True,False,False,False,True,98,0.00168732782369146,-0.001364986579114865,0.3163265306122449,-2.370980417037791,0.017740971036827015,1.0,-4.2303303071741677e-07
68,False,False,True,False,False,False,True,False,228,0.003925619834710744,-0.001005438845911852,0.4166666666666667,-2.04166272813715,0.0411849983450663,1.0,-3.289142230083538e-07
155,True,True,False,True,True,False,False,True,40,0.0006887052341597796,-0.0019565051955329925,0.3,-1.759984253647671,0.07841047644886952,1.0,-2.69491073764875e-07
169,True,False,False,True,False,True,False,True,23,0.0003960055096418733,-0.0023303208300575994,0.21739130434782608,-3.214660775566726,0.0013059875664394806,0.33433281700850703,-2.6079692485148756e-07
197,True,False,True,False,False,False,True,True,464,0.007988980716253443,-0.0006094502787790117,0.4504310344827586,-1.8704404289775354,0.06142268215529409,1.0,-2.4134566824926426e-07
71,True,True,True,False,False,False,True,False,141,0.002427685950413223,-0.002118655690268933,0.45390070921985815,-0.7746998922673438,0.43851701468815385,1.0,-2.37108505281475e-07
75,True,True,False,True,False,False,True,False,266,0.004579889807162534,-0.00047851826049085365,0.40977443609022557,-1.108915733571202,0.26746653577278956,1.0,-1.9773481838465023e-07
70,False,True,True,False,False,False,True,False,184,0.0031680440771349864,0.002066668063433491,0.47282608695652173,1.0968910777041543,0.2726890095191673,1.0,-1.7791563906968763e-07
67,True,True,False,False,False,False,True,False,269,0.004631542699724518,-0.0006075354771598422,0.43866171003717475,-1.369880511326178,0.17072420420863343,1.0,-1.7259530601131873e-07
138,False,True,False,True,False,False,False,True,311,0.005354683195592286,-0.0003706793741120974,0.41479099678456594,-1.1041759511739728,0.26951681959557827,1.0,-1.69128846659273e-07
130,False,True,False,False,False,False,False,True,178,0.003064738292011019,-0.00046172772464516326,0.38202247191011235,-1.4426116467502765,0.14912990064156498,1.0,-1.6694700787789996e-07
34,False,True,False,False,False,True,False,False,367,0.006318870523415978,0.0004272928528882568,0.43869209809264303,0.5887675274271762,0.556017231938469,1.0,-1.6553183867055408e-07
243,True,True,False,False,True,True,True,True,98,0.00168732782369146,-0.0006423104013010873,0.35714285714285715,-2.152530970076623,0.03135555876736599,1.0,-1.5482688736596458e-07
11,True,True,False,True,False,False,False,False,498,0.008574380165289256,-0.00034443329206329195,0.4497991967871486,-1.051987729676726,0.292805179277411,1.0,-1.482581319142958e-07
10,False,True,False,True,False,False,False,False,676,0.011639118457300276,-0.0004088722837695174,0.46893491124260356,-1.2544947372559996,0.20966223741242995,1.0,-1.4783605301583788e-07
201,True,False,False,True,False,False,True,True,73,0.0012568870523415978,-0.0005816836927041317,0.3013698630136986,-1.9834212900467454,0.0473203909655145,1.0,-1.452206188741376e-07
171,True,True,False,True,False,True,False,True,34,0.0005853994490358127,-0.0012405157788733653,0.3235294117647059,-0.8332418659830884,0.4047083353572173,1.0,-1.2815245649518235e-07
