rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n_in,mean_ret_in,hit_rate_in,t_stat_in,n_val,mean_ret_val,hit_rate_val,t_stat_val,n_test,mean_ret_test,hit_rate_test,t_stat_test,expected_sign,collapsed_val,collapsed_test
151,True,True,True,False,True,False,False,True,324,0.001435827060551462,0.6820987654320988,3.382505690741962,95,0.0009067507853409438,0.6631578947368421,1.5797495645449307,142,-5.697784921363087e-05,0.4507042253521127,-0.13533035183898548,1,False,True
121,True,False,False,True,True,True,True,False,211,0.0018940715027100142,0.6919431279620853,3.6905140973614583,84,-0.0009668269194493553,0.32142857142857145,-2.4891323042622835,39,0.0002190960959947917,0.3076923076923077,0.3869756866406488,1,True,False
26,False,True,False,True,True,False,False,False,76,0.0034056174157723724,0.7236842105263158,1.9113506445950632,28,-0.001519917929213537,0.5,-1.3239871916743648,19,0.00043340448534469117,0.42105263157894735,,1,True,False
0,False,False,False,False,False,False,False,False,722,0.0005336834055971233,0.6371191135734072,1.75222913795033,20,0.0009844380185891565,0.7,1.6005317741646135,1,,,,1,False,True
140,False,False,True,True,False,False,False,True,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,61,0.0004054765569012066,0.47540983606557374,0.37691398365921847,65,0.0004434100751928695,0.6,0.6999356747437473,1,False,False
31,True,True,True,True,True,False,False,False,687,0.0005844240666100161,0.6171761280931587,1.1817779754680413,198,0.00034287589814334146,0.5555555555555556,0.7630640929892257,101,0.00015186400140537352,0.5346534653465347,0.44370246524333795,1,False,False
182,False,True,True,False,True,True,False,True,160,0.0012437014540033404,0.68125,2.085209491680997,1,,,,79,0.0001689874876899034,0.5189873417721519,0.3265479518324083,1,True,False
211,True,True,False,False,True,False,True,True,51,0.0019443008875941628,0.8431372549019608,1.8494192185703335,0,,,,26,-0.0019676662151798872,0.38461538461538464,-1.4940577063340719,1,True,True
231,True,True,True,False,False,True,True,True,184,0.0009304535975369379,0.6956521739130435,2.179387522880551,181,-0.00041490043941212377,0.44751381215469616,-1.683460622545854,7,-3.5199070099047247e-05,0.42857142857142855,,1,True,True
181,True,False,True,False,True,True,False,True,176,0.0014688607365211028,0.6193181818181818,2.0611835157656397,0,,,,121,-0.00012825859911247956,0.5867768595041323,-0.14423917328292327,1,True,True
