rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf
151,True,True,True,False,True,False,False,True,349,0.006008953168044077,0.0009408423698992088,0.6389684813753582,2.126872810686206,0.033430652519475794,0.33430652519475795
121,True,False,False,True,True,True,True,False,412,0.00709366391184573,0.0008835876128655001,0.6067961165048543,2.7755801335268697,0.005510331826998054,0.055103318269980536
26,False,True,False,True,True,False,False,False,175,0.003013085399449036,0.0016547709741894356,0.6628571428571428,2.3370467522918377,0.019436753251458307,0.19436753251458305
0,False,False,False,False,False,False,False,False,787,0.013550275482093664,0.0003468873339564857,0.5806861499364676,1.4539776793490262,0.14595249460973145,1.0
140,False,False,True,True,False,False,False,True,294,0.00506198347107438,0.0007650387498487374,0.5510204081632653,2.0890261176945297,0.03670537218643246,0.3670537218643246
31,True,True,True,True,True,False,False,False,688,0.011845730027548209,-4.058293726790791e-05,0.5726744186046512,-0.1339862814629212,0.8934134224223464,1.0
182,False,True,True,False,True,True,False,True,98,0.00168732782369146,0.0008188329521704791,0.6632653061224489,0.8330485195372128,0.4048173657664206,1.0
211,True,True,False,False,True,False,True,True,28,0.00048209366391184575,0.0014736200923823725,0.8214285714285714,1.0543057551542496,0.29174295468903144,1.0
231,True,True,True,False,False,True,True,True,128,0.0022038567493112946,0.0008399407820026076,0.625,1.7863034727633056,0.07405013493248723,0.7405013493248723
181,True,False,True,False,True,True,False,True,142,0.0024449035812672175,0.000654766363014157,0.5422535211267606,0.8840675659432538,0.37665974047142203,1.0
